buller2,ind_weight,ind_month,ind_season,treatment_protocol
0,415,2021-01,Summer,Control
0,416,2021-01,Summer,Control
0,444,2021-01,Summer,Control
0,412,2021-01,Summer,Control
0,422,2021-01,Summer,Control
0,424,2021-01,Summer,Control
0,434,2021-01,Summer,Control
0,425,2021-01,Summer,Control
0,433,2021-01,Summer,Control
0,423,2021-01,Summer,Control
0,424,2021-01,Summer,Control
0,433,2021-01,Summer,Control
0,430,2021-01,Summer,Control
0,427,2021-01,Summer,Control
0,432,2021-01,Summer,Control
0,435,2021-01,Summer,Control
0,411,2021-01,Summer,Control
0,422,2021-01,Summer,Control
0,433,2021-01,Summer,Control
0,437,2021-01,Summer,Control
0,402,2021-01,Summer,Control
0,421,2021-01,Summer,Control
0,416,2021-01,Summer,Control
0,412,2021-01,Summer,Control
0,409,2021-01,Summer,Control
0,431,2021-01,Summer,Control
0,419,2021-01,Summer,Control
1,438,2021-01,Summer,Control
0,427,2021-01,Summer,Control
0,443,2021-01,Summer,Control
0,416,2021-01,Summer,Control
0,429,2021-01,Summer,Control
0,409,2021-01,Summer,Control
0,441,2021-01,Summer,Control
0,412,2021-01,Summer,Control
0,416,2021-01,Summer,Control
1,434,2021-01,Summer,Control
0,418,2021-01,Summer,Control
0,422,2021-01,Summer,Control
0,432,2021-01,Summer,Control
0,444,2021-01,Summer,Control
0,439,2021-01,Summer,Control
0,414,2021-01,Summer,Control
0,429,2021-01,Summer,Control
0,427,2021-01,Summer,Control
0,431,2021-01,Summer,Control
0,439,2021-01,Summer,Control
0,434,2021-01,Summer,Control
0,404,2021-01,Summer,Control
0,405,2021-01,Summer,Control
0,420,2021-01,Summer,Control
0,440,2021-01,Summer,Control
0,436,2021-01,Summer,Control
0,438,2021-01,Summer,Control
0,422,2021-01,Summer,Control
0,425,2021-01,Summer,Control
0,427,2021-01,Summer,Control
0,417,2021-01,Summer,Control
0,409,2021-01,Summer,Control
0,430,2021-01,Summer,Control
0,423,2021-01,Summer,Control
0,431,2021-01,Summer,Control
0,430,2021-01,Summer,Control
